barcode,location,author,title,publisher_code,status,description
31705,MATHS,MARY  L BOAS,MATHEMATICAL METHODS IN THE PHYSICAL SCIENCES,JOHNWILEY&SONS,Available,"A comprehensive guide authored by MARY  L BOAS, covering key principles and applications related to 'MATHEMATICAL METHODS IN THE PHYSICAL SCIENCES'. Ideal for engineering students and professionals."
31706,MATHS,MARY  L BOAS,MATHEMATICAL METHODS IN THE PHYSICAL SCIENCES,JOHNWILEY&SONS,Available,"A comprehensive guide authored by MARY  L BOAS, covering key principles and applications related to 'MATHEMATICAL METHODS IN THE PHYSICAL SCIENCES'. Ideal for engineering students and professionals."
31707,MATHS,MARY  L BOAS,MATHEMATICAL METHODS IN THE PHYSICAL SCIENCES,JOHNWILEY&SONS,Not for loan,"A comprehensive guide authored by MARY  L BOAS, covering key principles and applications related to 'MATHEMATICAL METHODS IN THE PHYSICAL SCIENCES'. Ideal for engineering students and professionals."
31708,ECE,GULATY R R,Modern Television Practice,NEWAGEINTERNATIOALPUBLISHERS,Available,"A comprehensive guide authored by GULATY R R, covering key principles and applications related to 'Modern Television Practice'. Ideal for engineering students and professionals."
31709,ECE,GULATY R R,Modern Television Practice,NEWAGEINTERNATIOALPUBLISHERS,Available,"A comprehensive guide authored by GULATY R R, covering key principles and applications related to 'Modern Television Practice'. Ideal for engineering students and professionals."
31710,ECE,GULATY R R,Modern Television Practice,NEWAGEINTERNATIOALPUBLISHERS,Available,"A comprehensive guide authored by GULATY R R, covering key principles and applications related to 'Modern Television Practice'. Ideal for engineering students and professionals."
31711,ECE,GULATY R R,Modern Television Practice,NEWAGEINTERNATIOALPUBLISHERS,Available,"A comprehensive guide authored by GULATY R R, covering key principles and applications related to 'Modern Television Practice'. Ideal for engineering students and professionals."
31712,ECE,GULATY R R,Modern Television Practice,NEWAGEINTERNATIOALPUBLISHERS,Available,"A comprehensive guide authored by GULATY R R, covering key principles and applications related to 'Modern Television Practice'. Ideal for engineering students and professionals."
31713,ECE,GULATY R R,Modern Television Practice,NEWAGEINTERNATIOALPUBLISHERS,Not for loan,"A comprehensive guide authored by GULATY R R, covering key principles and applications related to 'Modern Television Practice'. Ideal for engineering students and professionals."
31714,EIE,A J BOUWENS,Digital Instrumentation,TATAMCGRAW-HILL,Available,"A comprehensive guide authored by A J BOUWENS, covering key principles and applications related to 'Digital Instrumentation'. Ideal for engineering students and professionals."
31715,EIE,A J BOUWENS,Digital Instrumentation,TATAMCGRAW-HILL,Available,"A comprehensive guide authored by A J BOUWENS, covering key principles and applications related to 'Digital Instrumentation'. Ideal for engineering students and professionals."
31716,EIE,A J BOUWENS,Digital Instrumentation,TATAMCGRAW-HILL,Not for loan,"A comprehensive guide authored by A J BOUWENS, covering key principles and applications related to 'Digital Instrumentation'. Ideal for engineering students and professionals."
31717,CHE,ED BY T J MASON,SONOCHEMISTRY,ROYALSOCIETYOFCHEMISTRY,Not for loan,"A comprehensive guide authored by ED BY T J MASON, covering key principles and applications related to 'SONOCHEMISTRY'. Ideal for engineering students and professionals."
31718,GEN,GREER HOGAN,NUTSHELLS,LONDONSWEET&MAXWELL,Not for loan,"A comprehensive guide authored by GREER HOGAN, covering key principles and applications related to 'NUTSHELLS'. Ideal for engineering students and professionals."
31719,CSE,IAN PROBERT,INTERNET INCIDENT,KINGFISHER,Not for loan,"A comprehensive guide authored by IAN PROBERT, covering key principles and applications related to 'INTERNET INCIDENT'. Ideal for engineering students and professionals."
31720,CSE,DAN GOOKIN,ALL ABOUT COMPUTERS FOR DUMMIES,IDGBOOKSINDIA,Not for loan,"A comprehensive guide authored by DAN GOOKIN, covering key principles and applications related to 'ALL ABOUT COMPUTERS FOR DUMMIES'. Ideal for engineering students and professionals."
31721,CSE,WALLACE WANG,LEARNING COMPUTER PROGRAMMING FOR DUMMIES,IDGBOOKSINDIA,Not for loan,"A comprehensive guide authored by WALLACE WANG, covering key principles and applications related to 'LEARNING COMPUTER PROGRAMMING FOR DUMMIES'. Ideal for engineering students and professionals."
31722,CSE,CHRIS MAYNARD,INTERNET ACTION,BIGFISH,Not for loan,"A comprehensive guide authored by CHRIS MAYNARD, covering key principles and applications related to 'INTERNET ACTION'. Ideal for engineering students and professionals."
31723,CSE,JENNY PREECE,ONLINE COMMUNITIES,JOHNWILEY&SONS,Not for loan,"A comprehensive guide authored by JENNY PREECE, covering key principles and applications related to 'ONLINE COMMUNITIES'. Ideal for engineering students and professionals."
31724,CSE,A A BECKER,ACCA,FOULKSLYNCH,Available,"A comprehensive guide authored by A A BECKER, covering key principles and applications related to 'ACCA'. Ideal for engineering students and professionals."
31725,CSE,DONALD I BARKER,WORLD WIDE WEB FEATURING,COURSETECHNOLOGY,Not for loan,"A comprehensive guide authored by DONALD I BARKER, covering key principles and applications related to 'WORLD WIDE WEB FEATURING'. Ideal for engineering students and professionals."
31726,CSE,PETER NORTON,NETWORK SECURITY FUNDAMENTALS,TECHMEDIA,Not for loan,"A comprehensive guide authored by PETER NORTON, covering key principles and applications related to 'NETWORK SECURITY FUNDAMENTALS'. Ideal for engineering students and professionals."
31727,CSE,BILL LAWRENCE,NETWARE 3.12 NETWORKS,NOVELLPRESS,Not for loan,"A comprehensive guide authored by BILL LAWRENCE, covering key principles and applications related to 'NETWARE 3.12 NETWORKS'. Ideal for engineering students and professionals."
31728,CSE,STEPHEN BAXTER,WEB 2028,MAGGIEFUREY,Not for loan,"A comprehensive guide authored by STEPHEN BAXTER, covering key principles and applications related to 'WEB 2028'. Ideal for engineering students and professionals."
31729,CSE,N KANTARIS,WINDOWS 98 EXPLAINED,BERNARDBABANI,Not for loan,"A comprehensive guide authored by N KANTARIS, covering key principles and applications related to 'WINDOWS 98 EXPLAINED'. Ideal for engineering students and professionals."
31730,ECE,ROBERT L BOYLESTAD,Electronic Devices And Circuit Theory,PEARSONEDUCATION,Not for loan,"A comprehensive guide authored by ROBERT L BOYLESTAD, covering key principles and applications related to 'Electronic Devices And Circuit Theory'. Ideal for engineering students and professionals."
31731,ENG,ED BY SIDNEY GREENBAUM,ENGLISH LANGUAGE TODAY,PERGAMONINSTITUTEOFENGLISH,Not for loan,"A comprehensive guide authored by ED BY SIDNEY GREENBAUM, covering key principles and applications related to 'ENGLISH LANGUAGE TODAY'. Ideal for engineering students and professionals."
31732,ENG,CARL G LIUNGMAN,DICTIONARY OF SYMBOLS,WWNORTON&COMPANY,Not for loan,"A comprehensive guide authored by CARL G LIUNGMAN, covering key principles and applications related to 'DICTIONARY OF SYMBOLS'. Ideal for engineering students and professionals."
31733,GEN,IAN STEWART,GAME SET AND MATH,BASILBLACKWELL,Not for loan,"A comprehensive guide authored by IAN STEWART, covering key principles and applications related to 'GAME SET AND MATH'. Ideal for engineering students and professionals."
31734,GEN,ANITA GANERI,FANTASTIC FACTS ABOUT,PARRGON,Not for loan,"A comprehensive guide authored by ANITA GANERI, covering key principles and applications related to 'FANTASTIC FACTS ABOUT'. Ideal for engineering students and professionals."
31735,GEN,CHRIS SMITH,CREATIVE BRITAIN,FABERANDFABER,Not for loan,"A comprehensive guide authored by CHRIS SMITH, covering key principles and applications related to 'CREATIVE BRITAIN'. Ideal for engineering students and professionals."
31736,GEN,JANE AUSTEN,EMMA,MACMILLAN,Not for loan,"A comprehensive guide authored by JANE AUSTEN, covering key principles and applications related to 'EMMA'. Ideal for engineering students and professionals."
31737,GEN,SANDRA SALMANS,DEPRESSION,THORSONS,Not for loan,"A comprehensive guide authored by SANDRA SALMANS, covering key principles and applications related to 'DEPRESSION'. Ideal for engineering students and professionals."
31738,GEN,CLAUDIA RODEN,COFFEE,PAVILION,Not for loan,"A comprehensive guide authored by CLAUDIA RODEN, covering key principles and applications related to 'COFFEE'. Ideal for engineering students and professionals."
31739,GEN,FRAIDA DUBIN,COURSE DESIGN,CAMBRIDGEUNIVERSITYPRESS,Not for loan,"A comprehensive guide authored by FRAIDA DUBIN, covering key principles and applications related to 'COURSE DESIGN'. Ideal for engineering students and professionals."
31740,GEN,GARY KASPAROV,BATSFORD CHESS OPENINGS 2,INTERNATIONALGRANDMASTER,Not for loan,"A comprehensive guide authored by GARY KASPAROV, covering key principles and applications related to 'BATSFORD CHESS OPENINGS 2'. Ideal for engineering students and professionals."
31741,GEN,A E SADLER,OYEZ LONGMAN INTELLIGENCE REPORTS,OYEZLONGMAN,Not for loan,"A comprehensive guide authored by A E SADLER, covering key principles and applications related to 'OYEZ LONGMAN INTELLIGENCE REPORTS'. Ideal for engineering students and professionals."
31742,GEN,ED BY CLAIRE FOLKARD,GUINNESS WORLD RECORDS 2004,BRITISHCOMPUTERSOCIETY,Not for loan,"A comprehensive guide authored by ED BY CLAIRE FOLKARD, covering key principles and applications related to 'GUINNESS WORLD RECORDS 2004'. Ideal for engineering students and professionals."
31743,GEN,PAUL GASCOIGNE,GAZZA,HEADLINE,Not for loan,"A comprehensive guide authored by PAUL GASCOIGNE, covering key principles and applications related to 'GAZZA'. Ideal for engineering students and professionals."
31744,GEN,JOHN BARKER,INTERACTIVE LEARNING REVOLUTION,KOGANPAGELONDON/NICHOLSPUBLISHING,Not for loan,"A comprehensive guide authored by JOHN BARKER, covering key principles and applications related to 'INTERACTIVE LEARNING REVOLUTION'. Ideal for engineering students and professionals."
31745,GEN,ANNE MACINTYRE,M.E,THORSONS,Not for loan,"A comprehensive guide authored by ANNE MACINTYRE, covering key principles and applications related to 'M.E'. Ideal for engineering students and professionals."
31746,GEN,D H GRIFFEL,APPLIED FUNCTIONAL ANALYSIS,JOHNWILEY&SONS,Not for loan,"A comprehensive guide authored by D H GRIFFEL, covering key principles and applications related to 'APPLIED FUNCTIONAL ANALYSIS'. Ideal for engineering students and professionals."
31747,GEN,GRANT EUSTACE,WRITING FOR CORPORATE VIDEO,FOCALPRESS,Not for loan,"A comprehensive guide authored by GRANT EUSTACE, covering key principles and applications related to 'WRITING FOR CORPORATE VIDEO'. Ideal for engineering students and professionals."
31748,GEN,J K ROWLING,HARRY POTTER AND THE PRISONER OF AZKABAN,BLOOMSBURY,Not for loan,"A comprehensive guide authored by J K ROWLING, covering key principles and applications related to 'HARRY POTTER AND THE PRISONER OF AZKABAN'. Ideal for engineering students and professionals."
31749,GEN,JONATHAN LEVITT,SECRETS OF SPECTACULAR CHESS,BTBATSFORDLTD,Not for loan,"A comprehensive guide authored by JONATHAN LEVITT, covering key principles and applications related to 'SECRETS OF SPECTACULAR CHESS'. Ideal for engineering students and professionals."
31750,GEN,ALEX DUNLOP,CORPORATE GOVERNANCE AND CONTROL,THECHARTEREDINSTITUTEOFMANAGEMENTACCOUNTANTS,Not for loan,"A comprehensive guide authored by ALEX DUNLOP, covering key principles and applications related to 'CORPORATE GOVERNANCE AND CONTROL'. Ideal for engineering students and professionals."
31751,GEN,MITCHELL DEAN,GOVERNMENTALITY,SAGEPUBLICATIONS,Not for loan,"A comprehensive guide authored by MITCHELL DEAN, covering key principles and applications related to 'GOVERNMENTALITY'. Ideal for engineering students and professionals."
31752,GEN,ED BY PAUL MT MCCABE,CONTEMPORARY ERGONOMICS 2002,TAYLOR&FRANCIS,Not for loan,"A comprehensive guide authored by ED BY PAUL MT MCCABE, covering key principles and applications related to 'CONTEMPORARY ERGONOMICS 2002'. Ideal for engineering students and professionals."
31753,GEN,WIL TIRION,CAMBRIDGE STAR ATLAS,CAMBRIDGEUNIVERSITYPRESS,Not for loan,"A comprehensive guide authored by WIL TIRION, covering key principles and applications related to 'CAMBRIDGE STAR ATLAS'. Ideal for engineering students and professionals."
31754,MATHS,J E BOOTH,TEXTILE MATHEMATICS,TEXTILEINSTITUTEMANCHESTER,Available,"A comprehensive guide authored by J E BOOTH, covering key principles and applications related to 'TEXTILE MATHEMATICS'. Ideal for engineering students and professionals."
31755,GEN,STEWART T COFFIN,PUZZLING WORLD OF POLYHEDRAL DISSECTIONS,OXFORDUNIVERSITYPRESS,Not for loan,"A comprehensive guide authored by STEWART T COFFIN, covering key principles and applications related to 'PUZZLING WORLD OF POLYHEDRAL DISSECTIONS'. Ideal for engineering students and professionals."
31756,MATHS,J E BOOTH,TEXTILE MATHEMATICS,TEXTILEINSTITUTEMANCHESTER,Not for loan,"A comprehensive guide authored by J E BOOTH, covering key principles and applications related to 'TEXTILE MATHEMATICS'. Ideal for engineering students and professionals."
31757,MBA,STEVEN BELL,FOREIGN EXCHANGE HANDBOOK,GRAHAM&TROMAN,Not for loan,"A comprehensive guide authored by STEVEN BELL, covering key principles and applications related to 'FOREIGN EXCHANGE HANDBOOK'. Ideal for engineering students and professionals."
31758,MBA,JAGDEEP S BHANDARI,CORPORATE BANKRUPTCY,CAMBRIDGEUNIVERSITYPRESS,Not for loan,"A comprehensive guide authored by JAGDEEP S BHANDARI, covering key principles and applications related to 'CORPORATE BANKRUPTCY'. Ideal for engineering students and professionals."
31759,MBA,ROS JAY,ULTIMATE BUSINESS CREATIVITY,CAPSTONE,Not for loan,"A comprehensive guide authored by ROS JAY, covering key principles and applications related to 'ULTIMATE BUSINESS CREATIVITY'. Ideal for engineering students and professionals."
31760,MBA,COOPERS,TOLLEYS TAXATION OF FOREIGN EXCHANGE GAINS AND LOSSES,TOLLEYPUBLISHINGCOMPANYLIMITED,Not for loan,"A comprehensive guide authored by COOPERS, covering key principles and applications related to 'TOLLEYS TAXATION OF FOREIGN EXCHANGE GAINS AND LOSSES'. Ideal for engineering students and professionals."
31761,MBA,MICHAEL J FOX,QUALITY ASSURANCE MANAGEMENT,CHAPMAN&HALL,Not for loan,"A comprehensive guide authored by MICHAEL J FOX, covering key principles and applications related to 'QUALITY ASSURANCE MANAGEMENT'. Ideal for engineering students and professionals."
31762,MBA,ALAN MELVILLE,ADVANCED TAXTATION FINANCE ACT 2001,FOULKSLYNCH,Not for loan,"A comprehensive guide authored by ALAN MELVILLE, covering key principles and applications related to 'ADVANCED TAXTATION FINANCE ACT 2001'. Ideal for engineering students and professionals."
31763,MBA,THOMAS R ITTELSON,PREPARING FINANCIAL STATEMENTS,FOULKSLYNCH,Not for loan,"A comprehensive guide authored by THOMAS R ITTELSON, covering key principles and applications related to 'PREPARING FINANCIAL STATEMENTS'. Ideal for engineering students and professionals."
31764,MBA,A A BECKER,ACCA,FOULKSLYNCH,Available,"A comprehensive guide authored by A A BECKER, covering key principles and applications related to 'ACCA'. Ideal for engineering students and professionals."
31765,MBA,REVSINE,FINANCIAL REPORTING,FOULKSLYNCH,Not for loan,"A comprehensive guide authored by REVSINE, covering key principles and applications related to 'FINANCIAL REPORTING'. Ideal for engineering students and professionals."
31766,MBA,A A BECKER,ACCA,FOULKSLYNCH,Available,"A comprehensive guide authored by A A BECKER, covering key principles and applications related to 'ACCA'. Ideal for engineering students and professionals."
31768,MBA,A A BECKER,ACCA,`VIKASPUBLISHINGHOUSPVTLTD,Available,"A comprehensive guide authored by A A BECKER, covering key principles and applications related to 'ACCA'. Ideal for engineering students and professionals."
31769,MBA,A A BECKER,ACCA,`VIKASPUBLISHINGHOUSPVTLTD,Available,"A comprehensive guide authored by A A BECKER, covering key principles and applications related to 'ACCA'. Ideal for engineering students and professionals."
31770,MBA,KAMAL GARG,AUDIT AND INTERNAL REVIEW,FOULKSLYNCH,Not for loan,"A comprehensive guide authored by KAMAL GARG, covering key principles and applications related to 'AUDIT AND INTERNAL REVIEW'. Ideal for engineering students and professionals."
31771,MBA,CAROL RITBERGER,MANAGING PEOPLE,ACCAOFFICIALPUBLISHER,Not for loan,"A comprehensive guide authored by CAROL RITBERGER, covering key principles and applications related to 'MANAGING PEOPLE'. Ideal for engineering students and professionals."
31772,MBA,AVINASH DIXIT,STRATEGIC BUSINESS PLANNING AND DEVELOPMENT,FOULKSLYNCH,Not for loan,"A comprehensive guide authored by AVINASH DIXIT, covering key principles and applications related to 'STRATEGIC BUSINESS PLANNING AND DEVELOPMENT'. Ideal for engineering students and professionals."
31773,MBA,THE CIM,CIM PRACTICE AND REVISION KIT,BPPPUBLISHING,Not for loan,"A comprehensive guide authored by THE CIM, covering key principles and applications related to 'CIM PRACTICE AND REVISION KIT'. Ideal for engineering students and professionals."
31774,MBA,THE CIM,CIMA PRACTICE AND REVISION KIT,BPPPUBLISHING,Not for loan,"A comprehensive guide authored by THE CIM, covering key principles and applications related to 'CIMA PRACTICE AND REVISION KIT'. Ideal for engineering students and professionals."
31775,MBA,KEN WILD,REPORTING ACCOUNTING MANUAL,BUTTERWORTH,Not for loan,"A comprehensive guide authored by KEN WILD, covering key principles and applications related to 'REPORTING ACCOUNTING MANUAL'. Ideal for engineering students and professionals."
31776,MBA,DUNCAN HUGHES,ASSET MANAGEMENT,FINANCIALWORLDPUBLISHING,Not for loan,"A comprehensive guide authored by DUNCAN HUGHES, covering key principles and applications related to 'ASSET MANAGEMENT'. Ideal for engineering students and professionals."
31777,MBA,J WALKER,MANAGEMENT ACCOUNTING FUNDAMENTALS,VIVABOOKSPRIVATELIMITED,Not for loan,"A comprehensive guide authored by J WALKER, covering key principles and applications related to 'MANAGEMENT ACCOUNTING FUNDAMENTALS'. Ideal for engineering students and professionals."
31778,MBA,IAN COOKE,INTRODUCTION TO INNOVATION AND TECHNOLOGY TRANSFER,ARTECHHOUSE,Not for loan,"A comprehensive guide authored by IAN COOKE, covering key principles and applications related to 'INTRODUCTION TO INNOVATION AND TECHNOLOGY TRANSFER'. Ideal for engineering students and professionals."
31779,MBA,MICHAEL MORROW,ACTIVITY BASED MANAGEMENT,WOODHEADFAULKNER,Not for loan,"A comprehensive guide authored by MICHAEL MORROW, covering key principles and applications related to 'ACTIVITY BASED MANAGEMENT'. Ideal for engineering students and professionals."
31780,MBA,A A BECKER,ACCA,`VIKASPUBLISHINGHOUSPVTLTD,Not for loan,"A comprehensive guide authored by A A BECKER, covering key principles and applications related to 'ACCA'. Ideal for engineering students and professionals."
31782,MECH,DAVID BANN,PRINT PRODUCTION HANDBOOK,MACDONALD,Not for loan,"A comprehensive guide authored by DAVID BANN, covering key principles and applications related to 'PRINT PRODUCTION HANDBOOK'. Ideal for engineering students and professionals."
31783,PHY,PATRICK MOORE,GUINNESS BOOK OF ASTRONOMY,GUINNESSPUBLISHING,Not for loan,"A comprehensive guide authored by PATRICK MOORE, covering key principles and applications related to 'GUINNESS BOOK OF ASTRONOMY'. Ideal for engineering students and professionals."
31784,CSE,C M KRISHNA,REAL-TIME SYSTEMS,MCGRAW-HILL,Available,"A comprehensive guide authored by C M KRISHNA, covering key principles and applications related to 'REAL-TIME SYSTEMS'. Ideal for engineering students and professionals."
31785,CSE,C M KRISHNA,REAL-TIME SYSTEMS,MCGRAW-HILL,Available,"A comprehensive guide authored by C M KRISHNA, covering key principles and applications related to 'REAL-TIME SYSTEMS'. Ideal for engineering students and professionals."
31786,CSE,C M KRISHNA,REAL-TIME SYSTEMS,MCGRAW-HILL,Available,"A comprehensive guide authored by C M KRISHNA, covering key principles and applications related to 'REAL-TIME SYSTEMS'. Ideal for engineering students and professionals."
31787,CSE,C M KRISHNA,REAL-TIME SYSTEMS,MCGRAW-HILL,Available,"A comprehensive guide authored by C M KRISHNA, covering key principles and applications related to 'REAL-TIME SYSTEMS'. Ideal for engineering students and professionals."
31788,CSE,C M KRISHNA,REAL-TIME SYSTEMS,MCGRAW-HILL,Not for loan,"A comprehensive guide authored by C M KRISHNA, covering key principles and applications related to 'REAL-TIME SYSTEMS'. Ideal for engineering students and professionals."
31790,ECE,DOUGLAS A PUCKNELL,Basic VLSI Design,PRENTICEHALL,Available,"A comprehensive guide authored by DOUGLAS A PUCKNELL, covering key principles and applications related to 'Basic VLSI Design'. Ideal for engineering students and professionals."
31791,ECE,DOUGLAS A PUCKNELL,Basic VLSI Design,PRENTICEHALL,Not for loan,"A comprehensive guide authored by DOUGLAS A PUCKNELL, covering key principles and applications related to 'Basic VLSI Design'. Ideal for engineering students and professionals."
31793,CSE,JOHN R BOATRIGHT,ETHICS AND THE CONDUCT OF BUSINESS,LOYOLAUNIVERSITYCHICAGO,Available,"A comprehensive guide authored by JOHN R BOATRIGHT, covering key principles and applications related to 'ETHICS AND THE CONDUCT OF BUSINESS'. Ideal for engineering students and professionals."
31794,CSE,JOHN R BOATRIGHT,ETHICS AND THE CONDUCT OF BUSINESS,LOYOLAUNIVERSITYCHICAGO,Available,"A comprehensive guide authored by JOHN R BOATRIGHT, covering key principles and applications related to 'ETHICS AND THE CONDUCT OF BUSINESS'. Ideal for engineering students and professionals."
31795,CSE,JOHN R BOATRIGHT,ETHICS AND THE CONDUCT OF BUSINESS,LOYOLAUNIVERSITYCHICAGO,Available,"A comprehensive guide authored by JOHN R BOATRIGHT, covering key principles and applications related to 'ETHICS AND THE CONDUCT OF BUSINESS'. Ideal for engineering students and professionals."
31796,CSE,JOHN R BOATRIGHT,ETHICS AND THE CONDUCT OF BUSINESS,LOYOLAUNIVERSITYCHICAGO,Available,"A comprehensive guide authored by JOHN R BOATRIGHT, covering key principles and applications related to 'ETHICS AND THE CONDUCT OF BUSINESS'. Ideal for engineering students and professionals."
31797,CSE,JOHN R BOATRIGHT,ETHICS AND THE CONDUCT OF BUSINESS,LOYOLAUNIVERSITYCHICAGO,Available,"A comprehensive guide authored by JOHN R BOATRIGHT, covering key principles and applications related to 'ETHICS AND THE CONDUCT OF BUSINESS'. Ideal for engineering students and professionals."
31798,CSE,JOHN R BOATRIGHT,ETHICS AND THE CONDUCT OF BUSINESS,LOYOLAUNIVERSITYCHICAGO,Available,"A comprehensive guide authored by JOHN R BOATRIGHT, covering key principles and applications related to 'ETHICS AND THE CONDUCT OF BUSINESS'. Ideal for engineering students and professionals."
31799,CSE,JOHN R BOATRIGHT,ETHICS AND THE CONDUCT OF BUSINESS,LOYOLAUNIVERSITYCHICAGO,Available,"A comprehensive guide authored by JOHN R BOATRIGHT, covering key principles and applications related to 'ETHICS AND THE CONDUCT OF BUSINESS'. Ideal for engineering students and professionals."
31800,CSE,JOHN R BOATRIGHT,ETHICS AND THE CONDUCT OF BUSINESS,LOYOLAUNIVERSITYCHICAGO,Available,"A comprehensive guide authored by JOHN R BOATRIGHT, covering key principles and applications related to 'ETHICS AND THE CONDUCT OF BUSINESS'. Ideal for engineering students and professionals."
31802,CSE,JOHN R BOATRIGHT,ETHICS AND THE CONDUCT OF BUSINESS,LOYOLAUNIVERSITYCHICAGO,Available,"A comprehensive guide authored by JOHN R BOATRIGHT, covering key principles and applications related to 'ETHICS AND THE CONDUCT OF BUSINESS'. Ideal for engineering students and professionals."
31803,CSE,JOHN R BOATRIGHT,ETHICS AND THE CONDUCT OF BUSINESS,LOYOLAUNIVERSITYCHICAGO,Available,"A comprehensive guide authored by JOHN R BOATRIGHT, covering key principles and applications related to 'ETHICS AND THE CONDUCT OF BUSINESS'. Ideal for engineering students and professionals."
31804,CSE,JOHN R BOATRIGHT,ETHICS AND THE CONDUCT OF BUSINESS,LOYOLAUNIVERSITYCHICAGO,Available,"A comprehensive guide authored by JOHN R BOATRIGHT, covering key principles and applications related to 'ETHICS AND THE CONDUCT OF BUSINESS'. Ideal for engineering students and professionals."
31805,CSE,JOHN R BOATRIGHT,ETHICS AND THE CONDUCT OF BUSINESS,LOYOLAUNIVERSITYCHICAGO,Available,"A comprehensive guide authored by JOHN R BOATRIGHT, covering key principles and applications related to 'ETHICS AND THE CONDUCT OF BUSINESS'. Ideal for engineering students and professionals."
31806,CSE,JOHN R BOATRIGHT,ETHICS AND THE CONDUCT OF BUSINESS,LOYOLAUNIVERSITYCHICAGO,Available,"A comprehensive guide authored by JOHN R BOATRIGHT, covering key principles and applications related to 'ETHICS AND THE CONDUCT OF BUSINESS'. Ideal for engineering students and professionals."
31807,CSE,JOHN R BOATRIGHT,ETHICS AND THE CONDUCT OF BUSINESS,LOYOLAUNIVERSITYCHICAGO,Available,"A comprehensive guide authored by JOHN R BOATRIGHT, covering key principles and applications related to 'ETHICS AND THE CONDUCT OF BUSINESS'. Ideal for engineering students and professionals."
31808,CSE,JOHN R BOATRIGHT,ETHICS AND THE CONDUCT OF BUSINESS,LOYOLAUNIVERSITYCHICAGO,Available,"A comprehensive guide authored by JOHN R BOATRIGHT, covering key principles and applications related to 'ETHICS AND THE CONDUCT OF BUSINESS'. Ideal for engineering students and professionals."
31809,CSE,JOHN R BOATRIGHT,ETHICS AND THE CONDUCT OF BUSINESS,LOYOLAUNIVERSITYCHICAGO,Available,"A comprehensive guide authored by JOHN R BOATRIGHT, covering key principles and applications related to 'ETHICS AND THE CONDUCT OF BUSINESS'. Ideal for engineering students and professionals."
31810,CSE,JOHN R BOATRIGHT,ETHICS AND THE CONDUCT OF BUSINESS,LOYOLAUNIVERSITYCHICAGO,Available,"A comprehensive guide authored by JOHN R BOATRIGHT, covering key principles and applications related to 'ETHICS AND THE CONDUCT OF BUSINESS'. Ideal for engineering students and professionals."
31811,CSE,JOHN R BOATRIGHT,ETHICS AND THE CONDUCT OF BUSINESS,LOYOLAUNIVERSITYCHICAGO,Available,"A comprehensive guide authored by JOHN R BOATRIGHT, covering key principles and applications related to 'ETHICS AND THE CONDUCT OF BUSINESS'. Ideal for engineering students and professionals."
31812,CSE,JOHN R BOATRIGHT,ETHICS AND THE CONDUCT OF BUSINESS,LOYOLAUNIVERSITYCHICAGO,Not for loan,"A comprehensive guide authored by JOHN R BOATRIGHT, covering key principles and applications related to 'ETHICS AND THE CONDUCT OF BUSINESS'. Ideal for engineering students and professionals."
31813,MECH,RICHARD R KIBBE,MACHINE TOOL PRACTICES,PRENTICEHALLOFINDIA,Available,"A comprehensive guide authored by RICHARD R KIBBE, covering key principles and applications related to 'MACHINE TOOL PRACTICES'. Ideal for engineering students and professionals."
31814,CSE,RICHARD R KIBBE,MACHINE TOOL PRACTICES,PRENTICEHALLOFINDIA,Not for loan,"A comprehensive guide authored by RICHARD R KIBBE, covering key principles and applications related to 'MACHINE TOOL PRACTICES'. Ideal for engineering students and professionals."
31815,MECH,R C SRIVASTAVA,THERMODYNAMICS,PRENTICEHALL,Available,"A comprehensive guide authored by R C SRIVASTAVA, covering key principles and applications related to 'THERMODYNAMICS'. Ideal for engineering students and professionals."
31816,MECH,R C SRIVASTAVA,THERMODYNAMICS,PRENTICEHALL,Available,"A comprehensive guide authored by R C SRIVASTAVA, covering key principles and applications related to 'THERMODYNAMICS'. Ideal for engineering students and professionals."
31817,MECH,R C SRIVASTAVA,THERMODYNAMICS,PRENTICEHALL,Not for loan,"A comprehensive guide authored by R C SRIVASTAVA, covering key principles and applications related to 'THERMODYNAMICS'. Ideal for engineering students and professionals."
31818,CSE,ANDREW S  TANENBAUM,DISTRIBUTED OPERATING SYSTEMS,PEARSONEDUCATION,Available,"A comprehensive guide authored by ANDREW S TANENBAUM, covering key principles and applications related to 'DISTRIBUTED OPERATING SYSTEMS'. Ideal for engineering students and professionals."
31819,CSE,ANDREW S TANENBAUM,DISTRIBUTED OPERATING SYSTEMS,PEARSIONEDUCATION,Available,"A comprehensive guide authored by ANDREW S TANENBAUM, covering key principles and applications related to 'DISTRIBUTED OPERATING SYSTEMS'. Ideal for engineering students and professionals."
31820,CSE,ANDREW S TANENBAUM,DISTRIBUTED OPERATING SYSTEMS,PEARSIONEDUCATION,Available,"A comprehensive guide authored by ANDREW S TANENBAUM, covering key principles and applications related to 'DISTRIBUTED OPERATING SYSTEMS'. Ideal for engineering students and professionals."
31821,CSE,ANDREW S TANENBAUM,DISTRIBUTED OPERATING SYSTEMS,PEARSIONEDUCATION,Available,"A comprehensive guide authored by ANDREW S TANENBAUM, covering key principles and applications related to 'DISTRIBUTED OPERATING SYSTEMS'. Ideal for engineering students and professionals."
